"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.12.2024","6,4023","6,3180","6,5561","6,1618","","1,36%"
"01.11.2024","6,3164","6,2988","6,4597","6,0084","","0,30%"
"01.10.2024","6,2977","6,0687","6,3005","5,9504","","3,79%"
"01.09.2024","6,0677","6,2003","6,2690","6,0096","","-2,10%"
"01.08.2024","6,1977","6,1167","6,4308","5,9550","","1,33%"
"01.07.2024","6,1161","5,9999","6,1725","5,8149","","2,08%"
"01.06.2024","5,9912","5,6880","5,9991","5,6769","","5,38%"
"01.05.2024","5,6853","5,5393","5,7097","5,4400","","2,66%"
"01.04.2024","5,5382","5,4121","5,6301","5,3990","","2,33%" 
"01.03.2024","5,4120","5,3714","5,4847","5,3552","","0,77%"
"01.02.2024","5,3708","5,3562","5,4225","5,2977","","0,26%"
"01.01.2024","5,3567","5,3566","5,4469","5,2863","","0,04%"
"01.12.2023","5,3548","5,3580","5,4124","5,2551","","-0,02%"
"01.11.2023","5,3560","5,3254","5,4085","5,1867","","0,58%"
"01.10.2023","5,3250","5,3183","5,4851","5,2144","","0,10%"
"01.09.2023","5,3195","5,3732","5,3816","5,1688","","-0,96%"
"01.08.2023","5,3711","5,1957","5,4676","5,1807","","3,40%"
"01.07.2023","5,1944","5,2215","5,4409","5,1728","","-0,52%"
"01.06.2023","5,2215","5,4068","5,4204","5,1758","","-3,40%"
"01.05.2023","5,4053","5,4971","5,5773","5,3038","","-1,66%"
"01.04.2023","5,4966","5,4927","5,6234","5,3712","","0,16%"
"01.03.2023","5,4879","5,5386","5,7523","5,3870","","-0,91%"
"01.02.2023","5,5383","5,5119","5,6933","5,4180","","0,51%"
"01.01.2023","5,5104","5,6576","5,8285","5,4868","","-2,59%"
"01.12.2022","5,6571","5,3966","5,7250","5,3891","","4,86%"
"01.11.2022","5,3951","5,1207","5,7246","4,9519","","5,40%"
"01.10.2022","5,1185","5,3074","5,4362","5,0128","","-3,54%"
"01.09.2022","5,3066","5,2125","5,3193","4,9823","","1,80%"
"01.08.2022","5,2126","5,2898","5,3898","5,0110","","-1,39%"
"01.07.2022","5,2862","5,5111","5,6409","5,2382","","-4,05%"
"01.06.2022","5,5095","5,0809","5,5722","5,0592","","8,51%"
"01.05.2022","5,0776","5,2460","5,4648","5,0321","","-3,12%"
"01.04.2022","5,2411","5,2452","5,3300","4,9877","","-0,04%"
"01.03.2022","5,2432","5,7887","5,7969","5,1895","","-9,43%"
"01.02.2022","5,7889","5,9592","6,1249","5,5886","","-2,84%"
"01.01.2022","5,9581","6,3321","6,4770","5,9207","","-5,91%"
"01.12.2021","6,3323","6,3775","6,4972","6,2409","","-0,67%"
"01.11.2021","6,3753","6,5166","6,6016","6,1693","","-2,18%"
"01.10.2021","6,5172","6,3045","6,6953","6,2090","","3,39%"
"01.09.2021","6,3033","6,0831","6,3682","6,0743","","3,68%"
"01.08.2021","6,0797","6,1849","6,3917","6,0378","","-1,73%"
"01.07.2021","6,1870","5,8934","6,3046","5,8766","","5,04%"
"01.06.2021","5,8903","6,3804","6,3885","5,8444","","-7,65%"
"01.05.2021","6,3780","6,5411","6,5929","6,3000","","-2,38%"
"01.04.2021","6,5337","6,6080","6,8630","6,4465","","-1,07%"
"01.03.2021","6,6046","6,7628","7,0013","6,4761","","-2,29%"
"01.02.2021","6,7597","6,6321","6,7754","6,3883","","1,97%"
"01.01.2021","6,6293","6,3527","6,7079","6,2935","","4,52%"
"01.12.2020","6,3428","6,3604","6,4880","6,0861","","-0,27%"
"01.11.2020","6,3599","6,6950","6,7754","6,2108","","-4,94%"
"01.10.2020","6,6907","6,5772","6,7891","6,4653","","1,76%"
"01.09.2020","6,5752","6,5562","6,6523","6,1474","","0,32%"
"01.08.2020","6,5545","6,1528","6,7101","6,1121","","6,54%"
"01.07.2020","6,1523","6,1399","6,2165","5,8840","","0,22%"
"01.06.2020","6,1390","5,9214","6,1929","5,4212","","3,66%"
"01.05.2020","5,9220","6,0121","6,4966","5,7861","","-1,46%"
"01.04.2020","6,0097","5,7421","6,2046","5,5156","","4,69%"
"01.03.2020","5,7402","4,9222","5,7533","4,9222","","16,39%"
"01.02.2020","4,9318","4,7503","4,9668","4,6293","","3,83%"
"01.01.2020","4,7500","4,5068","4,7579","4,4777","","5,43%"
"01.12.2019","4,5053","4,6663","4,6873","4,4861","","-3,45%"
"01.11.2019","4,6664","4,4813","4,7127","4,4050","","4,17%"
"01.10.2019","4,4794","4,5296","4,6548","4,4056","","-1,08%"
"01.09.2019","4,5282","4,5552","4,6136","4,4038","","-0,54%"
"01.08.2019","4,5526","4,2251","4,6515","4,2045","","7,79%"
"01.07.2019","4,2236","4,3788","4,3838","4,1713","","-3,48%"
"01.06.2019","4,3760","4,3815","4,4065","4,3076","","-0,21%"
"01.05.2019","4,3850","4,3979","4,6049","4,3570","","-0,26%"
"01.04.2019","4,3964","4,4008","4,4612","4,2979","","-0,11%"
"01.03.2019","4,4013","4,2701","4,5095","4,2579","","3,20%"
"01.02.2019","4,2650","4,1709","4,2849","4,1663","","2,26%"
"01.01.2019","4,1708","4,4503","4,4820","4,1637","","-6,28%"
"01.12.2018","4,4504","4,3762","4,4967","4,3229","","1,73%"
