"Data","Último","Abertura","Máxima","Mínima","Var%","média"
"01.12.2024","0,0060","0,0059","0.0062","0.0058","1,69%","0,006"
"01.11.2024","0,0059","0,0058","0.0061","0.0057","1,72%","0,0059"
"01.10.2024","0,0058","0,0056","0.0059","0.0056","3,57%","0,0058"
"01.09.2024","0,0056","0,0059","0.006","0.0056","-5,08%","0,0058"
"01.08.2024","0,0059","0,0061","0.0063","0.0057","-3,28%","0,006"
"01.07.2024","0,0061","0,0061","0.0062","0.0058","0,00%","0,006"
"01.06.2024","0,0061","0,0059","0.0061","0.0058","3,39%","0,006"
"01.05.2024","0,0059","0,0059","0.0059","0.0057","0,00%","0,0058"
"01.04.2024","0,0059","0,0058","0.0061","0.0058","1,72%","0,006"
"01.03.2024","0,0058","0,0059","0.0059","0.0058","-1,69%","0,0058"
"01.02.2024","0,0059","0,0060","0.0061","0.0059","-1,67%","0,006"
"01.01.2024","0,0060","0,0060","0.0061","0.0059","0,00%","0,006"
"01.12.2023","0,0060","0,0137","0.0137","0.006","-55,88%","0,0099"
"01.11.2023","0,0136","0,0144","0.0144","0.0135","-5,56%","0,014"
"01.10.2023","0,0144","0,0144","0.0149","0.0141","0,00%","0,0145"
"01.09.2023","0,0144","0,0142","0.0145","0.0138","1,41%","0,0142"
"01.08.2023","0,0142","0,0172","0.0177","0.0138","-17,44%","0,0158"
"01.07.2023","0,0172","0,0187","0.019","0.0172","-7,53%","0,0181"
"01.06.2023","0,0186","0,0211","0.0211","0.0186","-11,85%","0,0198"
"01.05.2023","0,0211","0,0224","0.0226","0.0209","-5,80%","0,0217"
"01.04.2023","0,0224","0,0243","0.0243","0.0224","-7,44%","0,0234"
"01.03.2023","0,0242","0,0266","0.0266","0.0242","-9,02%","0,0254"
"01.02.2023","0,0266","0,0271","0.0279","0.0262","-1,85%","0,027"
"01.01.2023","0,0271","0,0299","0.0307","0.0271","-9,36%","0,0289"
"01.12.2022","0,0299","0,0310","0.0313","0.0293","-3,55%","0,0303"
"01.11.2022","0,0310","0,0330","0.034","0.0309","-6,06%","0,0324"
"01.10.2022","0,0330","0,0368","0.0368","0.0328","-10,33%","0,0348"
"01.09.2022","0,0368","0,0374","0.0378","0.0352","-1,60%","0,0365"
"01.08.2022","0,0374","0,0394","0.0402","0.0362","-5,08%","0,0382"
"01.07.2022","0,0394","0,0420","0.0432","0.0392","-6,19%","0,0412"
"01.06.2022","0,0420","0,0394","0.0425","0.0392","6,60%","0,0408"
"01.05.2022","0,0394","0,0431","0.0445","0.0391","-8,58%","0,0418"
"01.04.2022","0,0431","0,0427","0.0439","0.0404","0,94%","0,0422"
"01.03.2022","0,0427","0,0481","0.0484","0.0426","-11,04%","0,0455"
"01.02.2022","0,0480","0,0505","0.0508","0.0465","-4,95%","0,0486"
"01.01.2022","0,0505","0,0542","0.0555","0.0503","-6,83%","0,0529"
"01.12.2021","0,0542","0,0557","0.0564","0.054","-2,69%","0,0552"
"01.11.2021","0,0557","0,0565","0.0571","0.0538","-1,42%","0,0554"
"01.10.2021","0,0565","0,0551","0.0579","0.0542","2,54%","0,056"
"01.09.2021","0,0551","0,0529","0.0555","0.0525","4,55%","0,054"
"01.08.2021","0,0527","0,0540","0.0564","0.0523","-2,23%","0,0544"
"01.07.2021","0,0539","0,0519","0.0554","0.0516","3,85%","0,0535"
"01.06.2021","0,0519","0,0552","0.0552","0.0512","-5,81%","0,0532"
"01.05.2021","0,0551","0,0582","0.0586","0.0549","-5,16%","0,0568"
"01.04.2021","0,0581","0,0613","0.0625","0.057","-5,07%","0,0598"
"01.03.2021","0,0612","0,0622","0.065","0.0596","-1,77%","0,0623"
"01.02.2021","0,0623","0,0626","0.0627","0.0602","-0,48%","0,0614"
"01.01.2021","0,0626","0,0611","0.0649","0.0606","1,29%","0,0628"
"01.12.2020","0,0618","0,0656","0.0656","0.0608","-5,79%","0,0632"
